rid,preferred_name,definition,synonyms,acronyms
RID21306,surface of L1 segment,,,
RID21307,surface of L2 segment,,,
RID21308,surface of L3 segment,,,
RID21309,surface of L4 segment,,,
RID21310,surface of L5 segment,,,
RID21311,trunk of cranial nerve,,cranial neural trunk,
RID21313,trunk of right oculomotor nerve,,right oculomotor neural trunk,
RID21314,trunk of left oculomotor nerve,,left oculomotor neural trunk,
RID21315,trunk of trigeminal nerve,,trigeminal neural trunk,
RID21316,trunk of right trigeminal nerve,,right trigeminal neural trunk,
RID21317,trunk of left trigeminal nerve,,left trigeminal neural trunk,
RID21319,trunk of right facial nerve,,right facial neural trunk,
RID21320,trunk of left facial nerve,,left facial neural trunk,
RID21322,trunk of right vagus nerve,,right vagus neural trunk,
RID21323,trunk of left vagus nerve,,left vagus neural trunk,
RID21324,trunk of hypoglossal nerve,,hypoglossal neural trunk,
RID21325,trunk of right hypoglossal nerve,,right hypoglossal neural trunk,
RID21326,trunk of left hypoglossal nerve,,left hypoglossal neural trunk,
RID21327,trunk of branch of cranial nerve,,,
RID21328,trunk of branch of trigeminal nerve,,,
RID21329,trunk of mandibular nerve,,mandibular neural trunk,
RID21330,anterior trunk of mandibular nerve,,,
RID21331,anterior trunk of right mandibular nerve,,,
RID21332,anterior trunk of left mandibular nerve,,,
RID21333,posterior trunk of mandibular nerve,,,
RID21334,posterior trunk of right mandibular nerve,,,
RID21335,posterior trunk of left mandibular nerve,,,
RID21336,trunk of branch of mandibular nerve,,,
RID21337,trunk of meningeal branch of mandibular nerve,,,
RID21338,trunk of branch of mandibular nerve to medial pterygoid,,,
RID21339,trunk of branch of right mandibular nerve to medial pterygoid,,,
RID21340,trunk of branch of left mandibular nerve to medial pterygoid,,,
RID21341,trunk of branch of mandibular nerve to otic ganglion,,,
RID21342,trunk of branch of right mandibular nerve to otic ganglion,,,
RID21343,trunk of branch of left mandibular nerve to otic ganglion,,,
RID21344,trunk of branch of mandibular nerve to tensor veli palatini,,,
RID21345,trunk of branch of right mandibular nerve to tensor veli palatini,,,
RID21346,trunk of branch of left mandibular nerve to tensor veli palatini,,,
RID21347,trunk of branch of mandibular nerve to tensor tympani,,,
RID21348,trunk of branch of right mandibular nerve to tensor tympani,,,
RID21349,trunk of branch of left mandibular nerve to tensor tympani,,,
RID21350,trunk of masseteric nerve,,masseteric neural trunk,
RID21351,trunk of right masseteric nerve,,right masseteric neural trunk,
RID21352,trunk of left masseteric nerve,,left masseteric neural trunk,
RID21353,trunk of branch of masseteric nerve,,,
RID21354,trunk of branch of masseteric nerve to temporomandibular joint,,,
RID21355,trunk of branch of right masseteric nerve to right temporomandibular joint,,,
RID21356,trunk of branch of left masseteric nerve to left temporomandibular joint,,,
RID21357,trunk of masseteric nerve proper,,masseteric neural proper trunk,
RID21358,trunk of right masseteric nerve proper,,right masseteric neural proper trunk,
RID21359,trunk of left masseteric nerve proper,,left masseteric neural proper trunk,
RID21360,trunk of deep temporal nerve,,deep temporal neural trunk,
RID21361,trunk of anterior deep temporal nerve,,anterior deep temporal neural trunk,
RID21362,trunk of right anterior deep temporal nerve,,right anterior deep temporal neural trunk,
RID21363,trunk of left anterior deep temporal nerve,,left anterior deep temporal neural trunk,
RID21364,trunk of posterior deep temporal nerve,,posterior deep temporal neural trunk,
RID21365,trunk of right posterior deep temporal nerve,,right posterior deep temporal neural trunk,
RID21366,trunk of left posterior deep temporal nerve,,left posterior deep temporal neural trunk,
RID21367,trunk of buccal nerve,,buccal neural trunk,
RID21368,trunk of right buccal nerve,,right buccal neural trunk,
RID21369,trunk of left buccal nerve,,left buccal neural trunk,
RID21370,trunk of branch of buccal nerve,,,
RID21371,trunk of lateral pterygoid nerve,,lateral pterygoid neural trunk,
RID21372,trunk of right lateral pterygoid nerve,,right lateral pterygoid neural trunk,
RID21373,trunk of left lateral pterygoid nerve,,left lateral pterygoid neural trunk,
RID21374,trunk of cutaneous branch of buccal nerve,,,
RID21375,trunk of cutaneous branch of right buccal nerve,,,
RID21376,trunk of cutaneous branch of left buccal nerve,,,
RID21377,trunk of branch of buccal nerve to gingiva,,,
RID21378,trunk of branch of right buccal nerve to gingiva,,,
RID21379,trunk of branch of left buccal nerve to gingiva,,,
RID21380,trunk of auriculotemporal nerve,,auriculotemporal neural trunk,
RID21381,trunk of right auriculotemporal nerve,,right auriculotemporal neural trunk,
RID21382,trunk of left auriculotemporal nerve,,left auriculotemporal neural trunk,
RID21383,trunk of lingual nerve,,lingual neural trunk,
RID21384,trunk of right lingual nerve,,right lingual neural trunk,
RID21385,trunk of left lingual nerve,,left lingual neural trunk,
RID21386,trunk of branch of lingual nerve,,,
RID21387,trunk of communicating branch of lingual nerve with hypoglossal nerve,,,
RID21388,trunk of communicating branch of right lingual nerve with right hypoglossal nerve,,,
RID21389,trunk of communicating branch of left lingual nerve with left hypoglossal nerve,,,
RID21390,trunk of sublingual nerve,,sublingual neural trunk,
RID21391,trunk of right sublingual nerve,,right sublingual neural trunk,
RID21392,trunk of left sublingual nerve,,left sublingual neural trunk,
RID21393,trunk of lingual branch of lingual nerve,,,
RID21394,trunk of lingual branch of right lingual nerve,,,
RID21395,trunk of lingual branch of left lingual nerve,,,
RID21396,trunk of ganglionic branch of lingual nerve to submandibular ganglion,,,
RID21397,trunk of ganglionic branch of right lingual nerve to right submandibular ganglion,,,
RID21398,trunk of ganglionic branch of left lingual nerve to left submandibular ganglion,,,
RID21399,trunk of ganglionic branch of lingual nerve to sublingual ganglion,,,
RID2140,muscle of dorsal forearm,,muscle of posterior compartment of forearm,
RID21400,trunk of ganglionic branch of right lingual nerve to right sublingual ganglion,,,
RID21401,trunk of ganglionic branch of left lingual nerve to left sublingual ganglion,,,
RID21402,trunk of inferior alveolar nerve,,inferior alveolar neural trunk,
RID21403,trunk of right inferior alveolar nerve,,right inferior alveolar neural trunk,
RID21404,trunk of left inferior alveolar nerve,,left inferior alveolar neural trunk,
RID21405,trunk of branch of inferior alveolar nerve,,,
RID21406,trunk of mylohyoid nerve,,mylohyoid neural trunk,
RID21407,trunk of right mylohyoid nerve,,right mylohyoid neural trunk,
RID21408,trunk of left mylohyoid nerve,,left mylohyoid neural trunk,
RID21409,trunk of mental nerve,,mental neural trunk,
RID2141,superficial muscle of dorsal forearm,,superficial muscle of posterior compartment of forearm,
RID21410,trunk of right mental nerve,,right mental neural trunk,
RID21411,trunk of left mental nerve,,left mental neural trunk,
RID21412,trunk of branch of mental nerve,,,
RID21413,trunk of mental branch of mental nerve,,,
RID21414,trunk of mental branch of right mental nerve,,,
RID21415,trunk of mental branch of left mental nerve,,,
RID21416,trunk of labial branch of mental nerve,,,
RID21417,trunk of labial branch of right mental nerve,,,
RID21418,trunk of labial branch of left mental nerve,,,
RID21419,trunk of gingival branch of mental nerve,,,
RID21420,trunk of gingival branch of right mental nerve,,,
RID21421,trunk of gingival branch of left mental nerve,,,
RID21422,trunk of maxillary nerve,,maxillary neural trunk,
RID21423,trunk of right maxillary nerve,,right maxillary neural trunk,
RID21424,trunk of left maxillary nerve,,left maxillary neural trunk,
RID21425,trunk of branch of facial nerve,,,
RID21426,trunk of stapedius nerve,,stapedius neural trunk,
RID21427,trunk of right stapedius nerve,,right stapedius neural trunk,
RID21428,trunk of left stapedius nerve,,left stapedius neural trunk,
RID21429,trunk of posterior auricular nerve,,posterior auricular neural trunk,
RID2143,,,,
RID21430,trunk of right posterior auricular nerve,,right posterior auricular neural trunk,
RID21431,trunk of left posterior auricular nerve,,left posterior auricular neural trunk,
RID21432,trunk of branch of posterior auricular nerve,,,
RID21433,trunk of auricular branch of posterior auricular nerve,,,
RID21434,trunk of auricular branch of right posterior auricular nerve,,,
RID21435,trunk of auricular branch of left posterior auricular nerve,,,
RID21436,trunk of occipital branch of posterior auricular nerve,,,
RID21437,trunk of occipital branch of right posterior auricular nerve,,,
RID21438,trunk of occipital branch of left posterior auricular nerve,,,
RID21439,trunk of digastric branch of facial nerve,,,
RID21440,trunk of digastric branch of right facial nerve,,,
RID21441,trunk of digastric branch of left facial nerve,,,
RID21442,trunk of stylohyoid branch of facial nerve,,,
RID21443,trunk of stylohyoid branch of right facial nerve,,,
RID21444,trunk of stylohyoid branch of left facial nerve,,,
RID21445,trunk of communicating branch of facial nerve with glossopharyngeal nerve,,,
RID21446,trunk of communicating branch of right facial nerve with right glossopharyngeal nerve,,,
RID21447,trunk of communicating branch of left facial nerve with left glossopharyngeal nerve,,,
RID21448,trunk of frontal branch of facial nerve,,,
RID21449,trunk of frontal branch of right facial nerve,,,
RID21450,trunk of frontal branch of left facial nerve,,,
RID21451,trunk of temporal branch of facial nerve,,,
RID21452,trunk of temporal branch of right facial nerve,,,
RID21453,trunk of temporal branch of left facial nerve,,,
RID21454,trunk of branch of temporal branch of facial nerve,,,
RID21455,trunk of branch of temporal branch of facial nerve to frontalis,,,
RID21456,trunk of branch of temporal branch of right facial nerve to right frontalis,,,
RID21457,trunk of branch of temporal branch of left facial nerve to left frontalis,,,
RID21458,trunk of branch of temporal branch of facial nerve to temporoparietalis,,,
RID21459,trunk of branch of temporal branch of right facial nerve to right temporoparietalis,,,
RID21460,trunk of branch of temporal branch of left facial nerve to left temporoparietalis,,,
RID21461,trunk of branch of temporal branch of facial nerve to orbicularis oculi,,,
RID21462,trunk of branch of temporal branch of right facial nerve to right orbicularis oculi,,,
RID21463,trunk of branch of temporal branch of left facial nerve to left orbicularis oculi,,,
RID21464,trunk of branch of temporal branch of facial nerve to auricularis superior,,trunk of branch of temporal branch of facial nerve to superior auricular muscle,
RID21465,trunk of branch of temporal branch of right facial nerve to right auricularis superior,,trunk of branch of temporal branch of right facial nerve to right superior auricular muscle,
RID21466,trunk of branch of temporal branch of left facial nerve to left auricularis superior,,trunk of branch of temporal branch of left facial nerve to left superior auricular muscle,
RID21467,trunk of branch of temporal branch of facial nerve to corrugator supercilii,,,
RID21468,trunk of branch of temporal branch of right facial nerve to right corrugator supercilii,,,
RID21469,trunk of branch of temporal branch of left facial nerve to left corrugator supercilii,,,
RID21470,trunk of zygomatic branch of facial nerve,,,
RID21471,trunk of zygomatic branch of right facial nerve,,,
RID21472,trunk of zygomatic branch of left facial nerve,,,
RID21473,trunk of branch of zygomatic branch of facial nerve,,,
RID21474,trunk of branch of zygomatic branch of facial nerve to orbicularis oculi,,,
RID21475,trunk of branch of zygomatic branch of right facial nerve to right orbicularis oculi,,,
RID21476,trunk of branch of zygomatic branch of left facial nerve to left orbicularis oculi,,,
RID21477,trunk of communicating branch of zygomatic branch of facial nerve with lacrimal nerve,,,
RID21478,trunk of communicating branch of zygomatic branch of right facial nerve with right lacrimal nerve,,,
RID21479,trunk of communicating branch of zygomatic branch of left facial nerve with left lacrimal nerve,,,
RID21480,trunk of communicating branch of zygomatic branch of facial nerve with zygomaticofacial branch of zygomatic nerve,,,
RID21481,trunk of communicating branch of zygomatic branch of right facial nerve with zygomaticofacial branch of right zygomatic nerve,,,
RID21482,trunk of communicating branch of zygomatic branch of left facial nerve with zygomaticofacial branch of left zygomatic nerve,,,
RID21483,trunk of buccal branch of facial nerve,,,
RID21484,trunk of buccal branch of right facial nerve,,,
RID21485,trunk of buccal branch of left facial nerve,,,
RID21486,trunk of branch of buccal branch of facial nerve,,,
RID21487,trunk of superficial buccal branch of facial nerve,,,
RID21488,trunk of superficial buccal branch of facial nerve to procerus,,,
RID21489,trunk of superficial buccal branch of right facial nerve to right procerus,,,
RID21490,trunk of superficial buccal branch of left facial nerve to left procerus,,,
RID21491,trunk of superficial buccal branch of facial nerve to nasalis,,,
RID21492,trunk of superficial buccal branch of right facial nerve to right nasalis,,,
RID21493,trunk of superficial buccal branch of left facial nerve to left nasalis,,,
RID21494,trunk of superficial buccal branch of facial nerve to depressor septi,,,
RID21495,trunk of superficial buccal branch of facial nerve to right depressor septi,,,
RID21496,trunk of superficial buccal branch of facial nerve to left depressor septi,,,
RID21497,trunk of communicating branch of superficial buccal branch of facial nerve with infratrochlear nerve,,,
RID21498,trunk of communicating branch of superficial buccal branch of right facial nerve with right infratrochlear nerve,,,
RID21499,trunk of communicating branch of superficial buccal branch of left facial nerve with left infratrochlear nerve,,,
RID2150,deep muscle of dorsal forearm,,deep muscle of posterior compartment of forearm,
RID21500,trunk of communicating branch of superficial buccal branch of facial nerve with external nasal nerve,,,
RID21501,trunk of communicating branch of superficial buccal branch of right facial nerve with right external nasal nerve,,,
RID21502,trunk of communicating branch of superficial buccal branch of left facial nerve with left external nasal nerve,,,
RID21503,trunk of deep buccal branch of facial nerve,,,
RID21504,trunk of upper deep buccal branch of facial nerve,,,
RID21505,trunk of upper deep buccal branch of right facial nerve,,,
RID21506,trunk of upper deep buccal branch of left facial nerve,,,
RID21507,trunk of branch of upper deep buccal branch of facial nerve,,,
RID21508,trunk of branch of upper deep buccal branch of facial nerve to zygomaticus major,,,
RID21509,trunk of branch of upper deep buccal branch of right facial nerve to right zygomaticus major,,,
RID21510,trunk of branch of upper deep buccal branch of left facial nerve to left zygomaticus major,,,
RID21511,trunk of branch of upper deep buccal branch of facial nerve to levator labii superioris,,,
RID21512,trunk of branch of upper deep buccal branch of right facial nerve to right levator labii superioris,,,
RID21513,trunk of branch of upper deep buccal branch of left facial nerve to left levator labii superioris,,,
RID21514,trunk of lower deep buccal branch of facial nerve,,,
RID21515,trunk of lower deep buccal branch of right facial nerve,,,
RID21516,trunk of lower deep buccal branch of left facial nerve,,,
RID21517,trunk of branch of lower deep buccal branch of facial nerve,,,
RID21518,trunk of branch of lower deep buccal branch of facial nerve to buccinator,,,
RID21519,trunk of branch of lower deep buccal branch of right facial nerve to right buccinator,,,
RID21520,trunk of branch of lower deep buccal branch of left facial nerve to left buccinator,,,
RID21521,trunk of branch of lower deep buccal branch of facial nerve to orbicularis oris,,,
RID21522,trunk of branch of lower deep buccal branch of right facial nerve to right orbicularis oris,,,
RID21523,trunk of branch of lower deep buccal branch of left facial nerve to left orbicularis oris,,,
RID21524,trunk of communicating branch of buccal branch of facial nerve with buccal nerve,,,
RID21525,trunk of communicating branch of buccal branch of right facial nerve with right buccal nerve,,,
RID21526,trunk of communicating branch of buccal branch of left facial nerve with left buccal nerve,,,
RID21527,trunk of marginal mandibular branch of facial nerve,,,
RID21528,trunk of marginal mandibular branch of right facial nerve,,,
RID21529,trunk of marginal mandibular branch of left facial nerve,,,
RID21530,trunk of branch of marginal mandibular branch of facial nerve,,,
RID21531,trunk of branch of marginal mandibular branch of facial nerve to risorius,,,
RID21532,trunk of branch of marginal mandibular branch of right facial nerve to right risorius,,,
RID21533,trunk of branch of marginal mandibular branch of left facial nerve to left risorius,,,
RID21534,trunk of communicating branch of marginal mandibular branch of facial nerve with mental nerve,,,
RID21535,trunk of communicating branch of marginal mandibular branch of right facial nerve with right mental nerve,,,
RID21536,trunk of communicating branch of marginal mandibular branch of left facial nerve with left mental nerve,,,
RID21537,trunk of cervical branch of facial nerve,,,
RID21538,trunk of cervical branch of right facial nerve,,,
RID21539,trunk of cervical branch of left facial nerve,,,
RID21540,trunk of branch of cervical branch of facial nerve,,,
RID21541,trunk of branch of cervical branch of facial nerve to platysma,,,
RID21542,trunk of branch of cervical branch of right facial nerve to right platysma,,,
RID21543,trunk of branch of cervical branch of left facial nerve to left platysma,,,
RID21544,trunk of communicating branch of cervical branch of facial nerve with transverse cutaneous cervical nerve,,,
RID21545,trunk of communicating branch of cervical branch of right facial nerve with right transverse cutaneous cervical nerve,,,
RID21546,trunk of communicating branch of cervical branch of left facial nerve with left transverse cutaneous cervical nerve,,,
RID21547,trunk of greater petrosal nerve,,greater petrosal neural trunk,
RID21548,trunk of right greater petrosal nerve,,right greater petrosal neural trunk,
RID21549,trunk of left greater petrosal nerve,,left greater petrosal neural trunk,
RID21550,trunk of chorda tympani,,chorda tympani trunk,
RID21551,trunk of right chorda tympani,,right chorda tympani trunk,
RID21552,trunk of left chorda tympani,,left chorda tympani trunk,
RID21553,trunk of communicating branch of sensory root of facial nerve with vagus nerve,,,
RID21554,trunk of communicating branch of sensory root of right facial nerve with right vagus nerve,,,
RID21555,trunk of communicating branch of sensory root of left facial nerve with left vagus nerve,,,
RID21556,trunk of communicating branch of sensory root of facial nerve with tympanic plexus,,,
RID21557,trunk of communicating branch of sensory root of right facial nerve with right tympanic plexus,,,
RID21558,trunk of communicating branch of sensory root of left facial nerve with left tympanic plexus,,,
RID21559,trunk of branch of vestibulocochlear nerve,,,
RID21560,trunk of vestibular nerve,,vestibular neural trunk,
RID21561,trunk of right vestibular nerve,,right vestibular neural trunk,
RID21562,trunk of left vestibular nerve,,left vestibular neural trunk,
RID21563,trunk of branch of vestibular nerve,,,
RID21564,trunk of utriculo-ampullary nerve,,utriculo-ampullary neural trunk,
RID21565,trunk of right utriculo-ampullary nerve,,right utriculo-ampullary neural trunk,
RID21566,trunk of left utriculo-ampullary nerve,,left utriculo-ampullary neural trunk,
RID21567,trunk of utricular nerve,,utricular neural trunk,
RID21568,trunk of right utricular nerve,,right utricular neural trunk,
RID21569,trunk of left utricular nerve,,left utricular neural trunk,
RID21570,trunk of anterior ampullary nerve,,anterior ampullary neural trunk,
RID21571,trunk of right anterior ampullary nerve,,right anterior ampullary neural trunk,
RID21572,trunk of left anterior ampullary nerve,,left anterior ampullary neural trunk,
RID21573,trunk of lateral ampullary nerve,,lateral ampullary neural trunk,
RID21574,trunk of right lateral ampullary nerve,,right lateral ampullary neural trunk,
RID21575,trunk of left lateral ampullary nerve,,left lateral ampullary neural trunk,
RID21576,trunk of posterior ampullary nerve,,posterior ampullary neural trunk,
RID21577,trunk of right posterior ampullary nerve,,right posterior ampullary neural trunk,
RID21578,trunk of left posterior ampullary nerve,,left posterior ampullary neural trunk,
RID21579,trunk of saccular nerve,,saccular neural trunk,
RID2158,muscle of volar forearm,,,
RID21580,trunk of right saccular nerve,,right saccular neural trunk,
RID21581,trunk of left saccular nerve,,left saccular neural trunk,
RID21582,trunk of cochlear communicating branch of vestibular nerve,,,
RID21583,trunk of cochlear communicating branch of right vestibular nerve,,,
RID21584,trunk of cochlear communicating branch of left vestibular nerve,,,
RID21585,trunk of cochlear nerve,,cochlear neural trunk,
RID21586,trunk of right cochlear nerve,,right cochlear neural trunk,
RID21587,trunk of left cochlear nerve,,left cochlear neural trunk,
RID21588,trunk of branch of vagus nerve,,,
RID21589,trunk of meningeal branch of vagus nerve,,,
RID2159,superficial muscle of volar forearm,,superficial muscle of anterior compartment of forearm,
RID21590,trunk of meningeal branch of right vagus nerve,,,
RID21591,trunk of meningeal branch of left vagus nerve,,,
RID21592,trunk of auricular branch of vagus nerve,,,
RID21593,trunk of auricular branch of right vagus nerve,,,
RID21594,trunk of auricular branch of left vagus nerve,,,
RID21595,trunk of branch of auricular branch of vagus nerve,,,
RID21596,trunk of communicating branch of auricular branch of vagus nerve with facial nerve,,,
RID21597,trunk of communicating branch of auricular branch of right vagus nerve with right facial nerve,,,
RID21598,trunk of communicating branch of auricular branch of left vagus nerve with left facial nerve,,,
RID21599,trunk of communicating branch of auricular branch of vagus nerve with posterior auricular nerve,,,
RID21600,trunk of communicating branch of auricular branch of right vagus nerve with right posterior auricular nerve,,,
RID21601,trunk of communicating branch of auricular branch of left vagus nerve with left posterior auricular nerve,,,
RID21602,trunk of branch of auricular branch of vagus nerve to posterior wall of external acoustic meatus,,,
RID21603,trunk of vagal branch to posterior wall of right external acoustic meatus,,,
RID21604,trunk of vagal branch to posterior wall of left external acoustic meatus,,,
RID21605,trunk of branch of auricular branch of vagus nerve to floor of external acoustic meatus,,,
RID21606,trunk of branch of auricular branch of right vagus nerve to floor of right external acoustic meatus,,,
RID21607,trunk of branch of auricular branch of left vagus nerve to floor of left external acoustic meatus,,,
RID21608,trunk of vagal branch to tympanic membrane,,,
RID21609,trunk of vagal branch to right tympanic membrane,,,
RID21610,trunk of vagal branch to left tympanic membrane,,,
RID21611,trunk of communicating branch of vagus nerve with glossopharyngeal nerve,,,
RID21612,trunk of communicating branch of right vagus nerve with right glossopharyngeal nerve,,,
RID21613,trunk of communicating branch of left vagus nerve with left glossopharyngeal nerve,,,
RID21614,trunk of pharyngeal branch of vagus nerve,,,
RID21615,trunk of lingual branch of vagus nerve,,,
RID21616,trunk of lingual branch of right vagus nerve,,,
RID21617,trunk of lingual branch of left vagus nerve,,,
RID21618,trunk of pharyngeal branch of vagus nerve to pharyngeal nerve plexus,,,
RID21619,trunk of pharyngeal branch of right vagus nerve to pharyngeal nerve plexus,,,
RID21620,trunk of pharyngeal branch of left vagus nerve to pharyngeal nerve plexus,,,
RID21621,trunk of superior laryngeal nerve,,superior laryngeal neural trunk,
RID21622,trunk of right superior laryngeal nerve,,right superior laryngeal neural trunk,
RID21623,trunk of left superior laryngeal nerve,,left superior laryngeal neural trunk,
RID21624,trunk of branch of superior laryngeal nerve,,,
RID21625,trunk of external laryngeal nerve,,external laryngeal neural trunk,
RID21626,trunk of right external laryngeal nerve,,right external laryngeal neural trunk,
RID21627,trunk of left external laryngeal nerve,,left external laryngeal neural trunk,
RID21628,trunk of branch of external laryngeal nerve,,,
RID21629,trunk of communicating branch of external laryngeal nerve with superior cardiac nerve,,,
RID21630,trunk of communicating branch of right external laryngeal nerve with right superior cardiac nerve,,,
RID21631,trunk of communicating branch of left external laryngeal nerve with left superior cardiac nerve,,,
RID21632,trunk of external laryngeal branch to superior cervical sympathetic ganglion,,,
RID21633,trunk of right external laryngeal branch to right superior cervical sympathetic ganglion,,,
RID21634,trunk of left external laryngeal branch to left superior cervical sympathetic ganglion,,,
RID21635,trunk of branch of external laryngeal nerve to cricothyroid,,,
RID21636,trunk of right external laryngeal nerve to right cricothyroid,,,
RID21637,trunk of left external laryngeal nerve to left cricothyroid,,,
RID21638,trunk of branch of external laryngeal nerve to inferior pharyngeal constrictor,,,
RID21639,trunk of right external laryngeal nerve to right inferior pharyngeal constrictor,,,
RID21640,trunk of left external laryngeal nerve to left inferior pharyngeal constrictor,,,
RID21641,trunk of branch of external laryngeal nerve to pharyngeal nerve plexus,,,
RID21642,trunk of branch of right external laryngeal nerve to pharyngeal nerve plexus,,,
RID21643,trunk of branch of left external laryngeal nerve to pharyngeal nerve plexus,,,
RID21644,trunk of internal laryngeal nerve,,internal laryngeal neural trunk,
RID21645,trunk of right internal laryngeal nerve,,right internal laryngeal neural trunk,
RID21646,trunk of left internal laryngeal nerve,,left internal laryngeal neural trunk,
RID21647,trunk of branch of internal laryngeal nerve,,,
RID21648,trunk of upper branch of internal laryngeal nerve,,,
RID21649,trunk of upper branch of internal laryngeal nerve to epiglottis,,,
RID21650,trunk of upper branch of right internal laryngeal nerve to epiglottis,,,
RID21651,trunk of upper branch of left internal laryngeal nerve to epiglottis,,,
RID21652,trunk of upper branch of internal laryngeal nerve to laryngeal vestibule,,,
RID21653,trunk of upper branch of right internal laryngeal nerve to laryngeal vestibule,,,
RID21654,trunk of upper branch of left internal laryngeal nerve to laryngeal vestibule,,,
RID21655,trunk of upper branch of internal laryngeal nerve to mucosa of pharynx,,,
RID21656,trunk of upper branch of right internal laryngeal nerve to mucosa of pharynx,,,
RID21657,trunk of upper branch of left internal laryngeal nerve to mucosa of pharynx,,,
RID21658,trunk of upper branch of internal laryngeal nerve to epiglottic vallecula,,,
RID21659,trunk of upper branch of right internal laryngeal nerve to epiglottic vallecula,,,
RID21660,trunk of upper branch of left internal laryngeal nerve to epiglottic vallecula,,,
RID21661,trunk of lower branch of internal laryngeal nerve,,,
RID21662,trunk of lower branch of internal laryngeal nerve to aryepiglottic fold,,,
RID21663,trunk of lower branch of right internal laryngeal nerve to right aryepiglottic fold,,,
RID21664,trunk of lower branch of left internal laryngeal nerve to left aryepiglottic fold,,,
RID21665,trunk of lower branch of internal laryngeal nerve to mucosa of arytenoid cartilage,,,
RID21666,trunk of lower branch of right internal laryngeal nerve to mucosa of right arytenoid cartilage,,,
RID21667,trunk of lower branch of left internal laryngeal nerve to mucosa of left arytenoid cartilage,,,
RID21668,trunk of lower branch of internal laryngeal nerve to arytenoideus,,,
RID21669,trunk of lower branch of right internal laryngeal nerve to right arytenoideus,,,
RID2167,deep muscle of volar forearm,,deep muscle of anterior compartment of forearm,
RID21670,trunk of lower branch of left internal laryngeal nerve to left arytenoideus,,,
RID21671,trunk of communicating branch of internal laryngeal nerve with recurrent laryngeal nerve,,,
RID21672,trunk of communicating branch of right internal laryngeal nerve with right recurrent laryngeal nerve,,,
RID21673,trunk of communicating branch of left internal laryngeal nerve with left recurrent laryngeal nerve,,,
RID21674,trunk of cardiac branch of vagus nerve,,,
RID21675,trunk of cervical cardiac branch of vagus nerve,,,
RID21676,trunk of superior cervical cardiac branch of vagus nerve,,,
RID21677,trunk of superior cervical cardiac branch of right vagus nerve,,,
RID21678,trunk of superior cervical cardiac branch of left vagus nerve,,,
RID21679,trunk of inferior cervical cardiac branch of vagus nerve,,,
RID21680,trunk of inferior cervical cardiac branch of right vagus nerve to deep cardiac plexus,,,
RID21681,trunk of inferior cervical cardiac branch of left vagus nerve to superficial cardiac plexus,,,
RID21682,trunk of thoracic cardiac branch of vagus nerve,,,
RID21683,trunk of thoracic cardiac branch of right vagus nerve,,,
RID21684,trunk of thoracic cardiac branch of left vagus nerve,,,
RID21685,trunk of cardiac branch of right vagus to deep cardiac plexus,,,
RID21686,trunk of recurrent laryngeal nerve,,recurrent laryngeal neural trunk,
RID21687,trunk of right recurrent laryngeal nerve,,right recurrent laryngeal neural trunk,
RID21688,trunk of left recurrent laryngeal nerve,,left recurrent laryngeal neural trunk,
RID21689,trunk of branch of recurrent laryngeal nerve,,,
RID21690,trunk of muscular branch of recurrent laryngeal nerve,,,
RID21691,trunk of muscular branch of right recurrent laryngeal nerve,,,
RID21692,trunk of muscular branch of left recurrent laryngeal nerve,,,
RID21693,trunk of communicating branch of recurrent laryngeal nerve with internal laryngeal nerve,,,
RID21694,trunk of communicating branch of right recurrent laryngeal nerve with right internal laryngeal nerve,,,
RID21695,trunk of communicating branch of left recurrent laryngeal nerve with left internal laryngeal nerve,,,
RID21696,trunk of esophageal branch of recurrent laryngeal nerve,,,
RID21697,trunk of esophageal branch of right recurrent laryngeal nerve,,,
RID21698,trunk of esophageal branch of left recurrent laryngeal nerve,,,
RID21699,trunk of tracheal branch of recurrent laryngeal nerve,,,
RID2170,Gantzer muscle,,,
RID21700,trunk of tracheal branch of right recurrent laryngeal nerve,,,
RID21701,trunk of tracheal branch of left recurrent laryngeal nerve,,,
RID21702,trunk of branch of recurrent laryngeal nerve to muscle of larynx,,,
RID21703,trunk of branch of recurrent laryngeal nerve to posterior crico-arytenoid,,trunk of branch of recurrent laryngeal nerve to posterior cricoarytenoid,
RID21704,trunk of branch of right recurrent laryngeal nerve to right posterior crico-arytenoid,,,
RID21705,trunk of branch of left recurrent laryngeal nerve to left posterior crico-arytenoid,,trunk of branch of left recurrent laryngeal nerve to left posterior cricoarytenoid,
RID21706,trunk of branch of recurrent laryngeal nerve to lateral crico-arytenoid,,trunk of branch of recurrent laryngeal nerve to lateral cricoarytenoid,
RID21707,trunk of branch of right recurrent laryngeal nerve to right lateral crico-arytenoid,,trunk of branch of right recurrent laryngeal nerve to right lateral cricoarytenoid,
RID21708,trunk of branch of left recurrent laryngeal nerve to left lateral crico-arytenoid,,trunk of branch of left recurrent laryngeal nerve to left lateral cricoarytenoid,
RID21709,trunk of branch of recurrent laryngeal nerve to vocalis,,,
RID21710,trunk of branch of right recurrent laryngeal nerve to right vocalis,,,
RID21711,trunk of branch of left recurrent laryngeal nerve to left vocalis,,,
RID21712,trunk of branch of recurrent laryngeal nerve to thyroarytenoid,,,
RID21713,trunk of branch of right recurrent laryngeal nerve to right thyroarytenoid,,,
RID21714,trunk of branch of left recurrent laryngeal nerve to left thyroarytenoid,,,
