loinc_number,long_common_name,short_name,modality,anatomic_location,synonyms_count,top_synonyms
104867-7,PET+CT Heart metabolic,PET+CT Hrt metabolic W RNC IV,PT+CT,Chest,23,Cardiac; CAT scan; Computed tomography; Computerized tomography; CT scan
104868-5,PET+CT Heart perfusion W multiple studies at rest+W stress,PT+CT perf Hrt PF W stress,PT+CT,Chest,25,Cardiac; CAT scan; Computed tomography; Computerized tomography; CT scan
104869-3,CT Brain during surgery,CT Brain in Surg,CT,Head,24,Brain; CAT scan; Cerebral; Cerebrum; Computed tomography
104870-1,CT Cervical spine during surgery,CT C-spine in Surg,CT,Neck,21,C/sp; CAT scan; Cerv; Computed tomography; Computerized tomography
105128-3,MR Liver and Biliary ducts and Pancreas,MR Liver+BD+Pancreas,MR,Abdomen,22,Abd; Abdo; Abdomen+; Abdominal; BDs
105129-1,MR Liver and Biliary ducts and Pancreas W contrast IV,MR Liver+BD+Pancreas W contr IV,MR,Abdomen,32,Abd; Abdo; Abdomen+; Abdominal; BDs
105130-9,MR perfusion Brain W contrast IV,MR perfusion Brain W contr IV,MR,Head,25,Brain; c; Cerebral; Cerebrum; Contr
105131-7,MR perfusion Brain WO and W contrast IV,MR perfusion Brain WO+W contr IV,MR,Head,29,Brain; c; Cerebral; Cerebrum; Contr
105132-5,MR perfusion Brain WO contrast,MR perfusion Brain WO contr,MR,Head,24,Brain; c; Cerebral; Cerebrum; Contr
105133-3,MRA Lower extremity vessels - left W contrast IV,MRA LE ves-L W contr IV,MR,Lower extremity; True; Left,38,Ang; Angio; Angiography; c; Contr
105134-1,MRA Lower extremity vessels - right W contrast IV,MRA LE ves-R W contr IV,MR,Lower extremity; True; Right,38,Ang; Angio; Angiography; c; Contr
105135-8,MRA Lower extremity vessels - bilateral WO and W contrast IV,MRA LE ves-Bl WO+W contr IV,MR,Lower extremity; True; Bilateral,41,Ang; Angio; Angiography; Bil; Bilat
105136-6,MRA Lumbar spine vessels,MRA L-spine ves,MR,Abdomen,30,Abd; Abdo; Abdomen+; Abdominal; Ang
105137-4,MRA Pelvis veins W contrast IV,MRA Pelvis vv W contr IV,MR,Pelvis,29,Ang; Angio; Angiography; c; Contr
105138-2,MRA Thoracic and abdominal aorta W contrast IV,MRA TA + AA W contr IV,MR,Chest; Abdomen,34,Ab Ao; Abd; Abd Aorta; Abdo; Abdomen
105139-0,MRA Unspecified body region,MRA Spec,MR,,23,Ang; Angio; Angiography; Document; Finding
105140-8,MRA Abdominal veins W contrast IV,MRA Abd vv W contr IV,MR,Abdomen,32,Abd; Abd vv; Abdo; Abdomen; Abdomen+
105141-6,MRA Abdominal veins WO contrast IV,MRA Abd vv,MR,Abdomen,29,Abd; Abd vv; Abdo; Abdomen; Abdomen+
105142-4,MRA Aortic arch W contrast IV,MRA Ao arch W contr IV,MR,Chest,27,Ac arch; Ang; Angio; Angiography; AO
105143-2,MRA Cervical spine vessels,MRA C-spine ves,MR,Neck,25,Ang; Angio; Angiography; C/sp; Cerv
105144-0,MRA Head vessels and Neck vessels W contrast IV,MRA Head+Neck Ves W contr IV,MR,Head; Unspecified; True; Neck,31,Ang; Angio; Angiography; Brain; c
105145-7,MRA Head vessels and Neck vessels WO and W contrast IV,MRA Head+Neck Ves WO+W contr IV,MR,Head; Unspecified; True; Neck,35,Ang; Angio; Angiography; Brain; c
105146-5,MRA Head vessels and Neck vessels WO contrast IV,MRA Head+Neck Ves,MR,Head; Unspecified; True; Neck,30,Ang; Angio; Angiography; Brain; c
105147-3,MRA Upper extremity vessels - left W contrast IV,MRA UE ves-L W contr IV,MR,Upper extremity; True; Left,38,Ang; Angio; Angiography; Arm; Arm and hand vessels
105148-1,MRA Upper extremity vessels - right W contrast IV,MRA UE ves-R W contr IV,MR,Upper extremity; True; Right,38,Ang; Angio; Angiography; Arm; Arm and hand vessels
105149-9,MRA Upper extremity vessels - left WO contrast IV,MRA UE ves-L,MR,Upper extremity; True; Left,37,Ang; Angio; Angiography; Arm; Arm and hand vessels
105150-7,MRA Upper extremity vessels - right WO contrast IV,MRA UE ves-R,MR,Upper extremity; True; Right,37,Ang; Angio; Angiography; Arm; Arm and hand vessels
105151-5,MRA Upper extremity vessels - bilateral WO contrast IV,MRA UE ves-Bl,MR,Upper extremity; True; Bilateral,37,Ang; Angio; Angiography; Arm; Arm and hand vessels
105152-3,MRA Upper extremity vessels - bilateral WO and W contrast IV,MRA UE ves-Bl WO+W contr IV,MR,Upper extremity; True; Bilateral,42,Ang; Angio; Angiography; Arm; Arm and hand vessels
105153-1,MRA Upper extremity vessels - bilateral W contrast IV,MRA UE ves-Bl W contr IV,MR,Upper extremity; True; Bilateral,38,Ang; Angio; Angiography; Arm; Arm and hand vessels
105154-9,MRA Upper extremity vessels - bilateral,MRA UE ves-Bl,MR,Upper extremity; True; Bilateral,32,Ang; Angio; Angiography; Arm; Arm and hand vessels
105155-6,MRA Lower extremity veins - bilateral,MRA LE vv-Bl,MR,Lower extremity; True; Bilateral,29,Ang; Angio; Angiography; Bil; Bilat
105156-4,MR Orbit - bilateral,MR Orbit-Bl,MR,True; Bilateral; Head,21,Bil; Bilat; Both; Brain; Cranial
105157-2,MR Small bowel W contrast PO and W contrast IV,MR SB W contrast PO+IV,MR,Abdomen,23,Abd; Abdo; Abdomen+; Abdominal; c
105158-0,MR Lumbosacral plexus WO contrast IV,MR Lumbosacral plexus,MR,Pelvis,15,c; Contr; Contra; Contrst; Document
105159-8,MR Lumbosacral plexus W contrast IV,MR Lumbosacral plexus W contr IV,MR,Pelvis,16,c; Contr; Contra; Contrst; Document
105160-6,MR Lumbosacral plexus WO and W contrast IV,MR Lumbosacral plexus WO+W contr IV,MR,Pelvis,20,c; Contr; Contra; Contrst; Document
105161-4,MR Upper extremity joint - bilateral WO contrast IV,MR UE joint-Bl,MR,Upper extremity; True; Bilateral,25,Arm; Bil; Bilat; Both; c
105162-2,MR Upper extremity joint - bilateral WO and W contrast IV,MR UE joint-Bl WO+W contr IV,MR,Upper extremity; True; Bilateral,30,Arm; Bil; Bilat; Both; c
105163-0,MR Brain during surgery W contrast IV,MR Brain in Surg W contr IV,MR,Head,29,Brain; c; Cerebral; Cerebrum; Contr
105164-8,MR Brain during surgery W and WO contrast IV,MR Brain in Surg W+WO contr IV,MR,Head,33,Brain; c; Cerebral; Cerebrum; Contr
105165-5,MR Guidance for biopsy of Breast,MR Guided Brst Bx,MR,Breast; Unspecified; True,15,Brst; Bx; Document; Finding; Findings
105166-3,Functional MR Brain WO contrast,fMR Brain WO contr,MR,Head,26,Brain; c; Cerebral; Cerebrum; Contr
105167-1,MR Heart cine for function WO contrast,MR Hrt Cine for Function WO contr,MR,Chest,21,c; Cardiac; Cinematographic; Contr; Contra
105168-9,MR Heart cine for function WO and W contrast IV,MR Hrt Cine for Function WO+W contr IV,MR,Chest,26,c; Cardiac; Cinematographic; Contr; Contra
105169-7,MR Heart cine for function W contrast IV,MR Hrt Cine for Function W contr IV,MR,Chest,22,c; Cardiac; Cinematographic; Contr; Contra
105170-5,MRA Heart WO contrast IV,MRA Hrt,MR,Chest,25,Ang; Angio; Angiography; c; Cardiac
105171-3,MRA Heart W contrast IV,MRA Hrt W contr IV,MR,Chest,26,Ang; Angio; Angiography; c; Cardiac
105172-1,MRA Heart WO and W contrast IV,MRA Hrt WO+W contr IV,MR,Chest,30,Ang; Angio; Angiography; c; Cardiac
105173-9,MR Heart cine for blood flow velocity mapping WO contrast IV,MR Hrt Cine for Flow VM,MR,Chest,24,Bld flow; Bld flow vel; Bld flow.velocity; c; Cardiac
105174-7,MR Heart cine for blood flow velocity mapping WO and W contrast IV,MR Hrt Cine for Flow VM WO+W contr IV,MR,Chest,29,Bld flow; Bld flow vel; Bld flow.velocity; c; Cardiac
105420-4,US Breast - left screening,US Brst-L Screening,US,Breast; True; Left,20,Asympt; Asymptomatic; Brst; Brst-L; Document
105421-2,US Breast - right screening,US Brst-R Screening,US,Breast; True; Right,20,Asympt; Asymptomatic; Brst; Brst-R; Document
105422-0,US Breast - bilateral screening,US Brst-Bl Screening,US,Breast; True; Bilateral,23,Asympt; Asymptomatic; Bil; Bilat; Both
106251-2,US Wrist - right and Hand - right,US Wrist+Hand-R,US,Upper extremity; True; Right,29,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
106252-0,US Subtalar joint,US Subtalar joint,US,Lower extremity; True; Left,25,Document; Echography; EXT; Extr-L; Finding
106253-8,US Guidance for aspiration of Pelvis and Hip - bilateral,US Guided Pelvis and Hip-Bl Asp,US,Pelvis; Lower extremity; True; Bilateral,34,Asp; Bil; Bilat; Both; Document
106254-6,US Guidance for aspiration of Pelvis and Hip - left,US Guided Pelvis and Hip-L Asp,US,Pelvis; Lower extremity; True; Left,32,Asp; Document; Echography; EXT; Extr-L
106255-3,US Guidance for biopsy of Pelvis and Hip - right,US Guided Pelvis and Hip-R Bx,US,Pelvis; Lower extremity; True; Right,32,Bx; Document; Echography; EXT; Extr-R
106256-1,US Guidance for aspiration of Pelvis and Hip - right,US Guided Pelvis and Hip-R Asp,US,Pelvis; Lower extremity; True; Right,32,Asp; Document; Echography; EXT; Extr-R
106257-9,US Guidance for Guidance for placement of non-tunneled central venous catheter in Jugular vein - unilateral,US Guided Jugular v-Ul NTCVC place,US,Unilateral; True; Head; Neck,28,Brain; Cath; Cranial; Cranium; Document
106258-7,US Kidney W contrast IV,US Kidney W contr IV,US,Unspecified; True; Abdomen,27,Abd; Abdo; Abdomen+; Abdominal; c
106259-5,US Knee - bilateral,US Knee-Bl,US,Lower extremity; True; Bilateral,26,Bil; Bilat; Both; Document; Echography
106260-3,US Knee - left,US Knee-L,US,Lower extremity; True; Left,25,Document; Echography; EXT; Extr-L; Finding
106261-1,US Guidance for aspiration of Knee - left,US Guided Knee-L Asp,US,Lower extremity; True; Left,29,Asp; Document; Echography; EXT; Extr-L
106262-9,US Knee - right,US Knee-R,US,Lower extremity; True; Right,25,Document; Echography; EXT; Extr-R; Finding
106263-7,US Guidance for biopsy of Knee - right,US Guided Knee-R Bx,US,Lower extremity; True; Right,29,Bx; Document; Echography; EXT; Extr-R
106264-5,US Guidance for aspiration of Knee - right,US Guided Knee-R Asp,US,Lower extremity; True; Right,29,Asp; Document; Echography; EXT; Extr-R
106265-2,US Guidance for biopsy of Tibia and Fibula - left,US Guided Tib+Fib-L Bx,US,Lower extremity; True; Left,28,Bx; Document; Echography; EXT; Extr-L
106266-0,US Guidance for placement of marker in Breast - left,US Guided Brst-L Marker place,US,Breast; True; Left,22,Brst; Brst-L; Document; Echography; Finding
106267-8,US Guidance for placement of marker in Breast - right,US Guided Brst-R Marker place,US,Breast; True; Right,22,Brst; Brst-R; Document; Echography; Finding
106268-6,US Guidance for microwave ablation of Unspecified body region,US Guided Microwave abl,US,,22,Document; Echography; Finding; Findings; Guid
106269-4,US Guidance for Guidance for placement of non-tunneled central venous catheter in Unspecified body region,US Guided NTCVC place,US,,24,Cath; Document; Echography; Finding; Findings
106270-2,US Guidance for Guidance for placement of non-tunneled central venous catheter in Femoral vein,US Guided Fem v NTCVC place,US,Lower extremity; Unspecified; True,25,Cath; Document; Echography; EXT; Fem v
106271-0,US Guidance for drainage and placement of drainage catheter of Neck,US Guided Neck Drain+cath place,US,Neck,21,Cath; Document; Drain; Drain+cath place; Echography
106272-8,US Pelvis and Spine Lumbar,US Pelvis+L-spine,US,Abdomen; Pelvis,25,Abd; Abdo; Abdomen+; Abdominal; Document
106273-6,US Guidance for aspiration of Pelvis,US Guided Pelvis Asp,US,Pelvis,18,Asp; Document; Echography; Finding; Findings
106274-4,US Foot - left,US Foot-L,US,Lower extremity; True; Left,24,Document; Echography; EXT; Extr-L; Finding
106275-1,US Foot - right,US Foot-R,US,Lower extremity; True; Right,25,Document; Echography; EXT; Extr-R; Finding
106276-9,US Ribs - left,US Ribs-L,US,Chest; True; Left,17,Document; Echography; Finding; Findings; Imaging
106277-7,US Guidance for radiofrequency ablation of Liver,US Guided Liver Radiofreq abl,US,Abdomen,23,Abd; Abdo; Abdomen+; Abdominal; Document
106278-5,US Scapula - left,US Scapula-L,US,Chest; True; Left,18,Document; Echography; Finding; Findings; Imaging
106279-3,US Scapula - right,US Scapula-R,US,Chest; True; Right,18,Document; Echography; Finding; Findings; Imaging
106280-1,US Seminal vesicle,US Sem vesicle,US,Pelvis,15,Document; Echography; Finding; Findings; Imaging
106281-9,US Guidance for aspiration of Shoulder - bilateral,US Guided Shoulder-Bl Asp,US,Upper extremity; True; Bilateral,28,Arm; Asp; Bil; Bilat; Both
106282-7,US Guidance for biopsy of Shoulder - left,US Guided Should-L Bx,US,Upper extremity; True; Left,28,Arm; Bx; Document; Echography; EXT
106283-5,US Guidance for aspiration of Shoulder - left,US Guided Should-L Asp,US,Upper extremity; True; Left,28,Arm; Asp; Document; Echography; EXT
106284-3,US Guidance for biopsy of Shoulder - right,US Guided Should-R Bx,US,Upper extremity; True; Right,28,Arm; Bx; Document; Echography; EXT
106285-0,US Guidance for aspiration of Shoulder - right,US Guided Should-R Asp,US,Upper extremity; True; Right,28,Arm; Asp; Document; Echography; EXT
106286-8,US Sacroiliac Joint,US SIJ,US,Pelvis; Unspecified; True,19,Document; Echography; Finding; Findings; Imaging
106287-6,US Guidance for biopsy of Thigh soft tissue - left,US Guided Thigh soft tissue-L Bx,US,Lower extremity; True; Left,31,Bx; Document; Echography; EXT; Extr-L
106288-4,US Guidance for biopsy of Thigh soft tissue - right,US Guided Thigh soft tissue-R Bx,US,Lower extremity; True; Right,31,Bx; Document; Echography; EXT; Extr-R
106289-2,US Guidance for injection of Tendon,US Guided Tendon Inj,US,XXX,23,Document; Echography; Finding; Findings; Guid
106290-0,US Guidance for biopsy of Femur - left,US Guided Femur-L Bx,US,Lower extremity; True; Left,30,Bx; Document; Echography; EXT; Extr-L
106291-8,US Thumb - left,US Thumb-L,US,Upper extremity; True; Left,23,Arm; Document; Echography; EXT; Extr-L
106292-6,US Thumb - right,US Thumb-R,US,Upper extremity; True; Right,23,Arm; Document; Echography; EXT; Extr-R
106293-4,US Toes - left,US Toes-L,US,Lower extremity; True; Left,28,Distal metatarsals; Document; Echography; EXT; Extr-L
106294-2,US Toes - right,US Toes-R,US,Lower extremity; True; Right,28,Distal metatarsals; Document; Echography; EXT; Extr-R
106302-3,PT Prostate,PT Prostate W RNC IV,PT,Pelvis,18,Document; Finding; Findings; Imaging; Pelvic
106303-1,NM Unspecified body region Views for destruction of synovium W radionuclide IV,NM V for dest synovium W RNC IV,NM,,21,Document; Films; Finding; Findings; Imaging
106304-9,NM Abdomen Views,NM Abd Views W RNC IV,NM,Abdomen,18,Abd; Abdo; Abdomen+; Abdominal; Document
106305-6,US Guidance for aspiration of Abdomen,US Guided Abd Asp,US,Abdomen,21,Abd; Abdo; Abdomen+; Abdominal; Asp
106306-4,US Ankle - bilateral,US Ankle-Bl,US,Lower extremity; True; Bilateral,25,Ankle-Bl; Ankles; Bil; Bilat; Both
106307-2,US Guidance for fine needle aspiration of Axilla - left,US Guided Axilla-L FNA,US,Chest; True; Left,26,Asp; Ax; Axilla-L; Document; Echography
106308-0,US Guidance for FNA of Axilla - right,US Guided Axilla-R FNA,US,Chest; True; Right,25,Asp; Ax; Axilla-R; Document; Echography
106309-8,US Guidance for fine needle aspiration of Shoulder - right,US Guided Should-R FNA,US,Upper extremity; True; Right,31,Arm; Asp; Document; Echography; EXT
106310-6,US Guidance for drainage of Breast - left,US Guided Brst-L Drainage,US,Breast; True; Left,23,Brst; Brst-L; Document; Drain; Echography
106311-4,US Chest during surgery,US Chest in Surg,US,Chest,19,Document; Echography; Finding; Findings; Imaging
106312-2,US Clavicle - left,US Clavicle-L,US,Chest; True; Left,18,Clavicle-L; Document; Echography; Finding; Findings
106313-0,US Clavicle - right,US Clavicle-R,US,Chest; True; Right,18,Clavicle-R; Document; Echography; Finding; Findings
106314-8,US.doppler Lower extremity veins - bilateral,DOP LE vv-Bl,US,Lower extremity; True; Bilateral,26,Bil; Bilat; Both; Document; DOP
106315-5,US GuidE drain cath remove Unspec region,US Guidance for drainage catheter,US,,28,Cath; Document; Drain; Echography; Extraction
106318-9,US Elbow - bilateral,US Elbow-Bl,US,Upper extremity; True; Bilateral,25,Arm; Bil; Bilat; Both; Document
106319-7,US Guidance for aspiration of Elbow - bilateral,US Guided Elbow-Bl Asp,US,Upper extremity; True; Bilateral,29,Arm; Asp; Bil; Bilat; Both
106320-5,US Elbow - left,US Elbow-L,US,Upper extremity; True; Left,25,Arm; Document; Echography; Elbow-L; EXT
106321-3,US Guidance for biopsy of Elbow - left,US Guided Elbow-L Bx,US,Upper extremity; True; Left,29,Arm; Bx; Document; Echography; Elbow-L
106322-1,US Elbow - right,US Elbow-R,US,Upper extremity; True; Right,25,Arm; Document; Echography; Elbow-R; EXT
106323-9,US Guidance for biopsy of Elbow - right,US Guided Elbow-R Bx,US,Upper extremity; True; Right,29,Arm; Bx; Document; Echography; Elbow-R
106324-7,US Forearm - left,US Forearm-L,US,Upper extremity; True; Left,25,Arm; Document; Echography; EXT; Extr-L
106325-4,US Forearm - right,US Forearm-R,US,Upper extremity; True; Right,25,Arm; Document; Echography; EXT; Extr-R
106326-2,US Forefoot - right,US Forefoot-R,US,Lower extremity; True; Right,23,Document; Echography; EXT; Extr-R; Finding
106327-0,US Guidance for placement of fiducial marker in Liver,US Guided Liver Fid marker place,US,Abdomen,24,Abd; Abdo; Abdomen+; Abdominal; Document
106328-8,US Finger - left,US Finger-L,US,Upper extremity; True; Left,23,Arm; Document; Echography; EXT; Extr-L
106329-6,US Finger - right,US Finger-R,US,Upper extremity; True; Right,23,Arm; Document; Echography; EXT; Extr-R
106330-4,US Guidance for biopsy of Foot - left,US Guided Foot-L Bx,US,Lower extremity; True; Left,28,Bx; Document; Echography; EXT; Extr-L
106331-2,US Guidance for biopsy of Foot - right,US Guided Foot-R Bx,US,Lower extremity; True; Right,29,Bx; Document; Echography; EXT; Extr-R
106332-0,US Guidance for FNA of Clavicle - left,US Guided Clavicle-L FNA,US,Chest; True; Left,24,Asp; Clavicle-L; Document; Echography; Finding
106333-8,US Guidance for FNA of Groin - left,US Guided Groin-L FNA,US,Pelvis; True; Left,23,Asp; Document; Echography; Finding; Findings
106334-6,US Guidance for FNA of Groin - right,US Guided Groin-R FNA,US,Pelvis; True; Right,23,Asp; Document; Echography; Finding; Findings
106335-3,US Hand - bilateral,US Hand-Bl,US,Upper extremity; True; Bilateral,25,Arm; Bil; Bilat; Both; Document
106336-1,US Hand - left,US Hand-L,US,Upper extremity; True; Left,24,Arm; Document; Echography; EXT; Extr-L
106337-9,US Guidance for biopsy of Hand - left,US Guided Hand-L Bx,US,Upper extremity; True; Left,28,Arm; Bx; Document; Echography; EXT
106338-7,US Hand - right,US Hand-R,US,Upper extremity; True; Right,24,Arm; Document; Echography; EXT; Extr-R
106814-7,RF Guidance for Guidance of Stomach,RF Guided Stom Guide,RF,Abdomen,17,Abd; Abdo; Abdomen+; Abdominal; Document
106815-4,RF Guidance for Guidance of Ankle - left,RF Guided Ankle-L Guide,RF,Lower extremity; True; Left,24,Ankle-L; Document; EXT; Extr-L; Finding
106816-2,RF Guidance for Guidance of Ankle - right,RF Guided Ankle-R Guide,RF,Lower extremity; True; Right,24,Ankle-R; Document; EXT; Extr-R; Finding
106817-0,RF Guidance for Guidance of Lower extremity - left,RF Guided LE-L Guide,RF,Lower extremity; True; Left,22,Document; EXT; Extr-L; Finding; Findings
106818-8,RF Guidance for Guidance of Lower extremity - right,RF Guided LE-R Guide,RF,Lower extremity; True; Right,22,Document; EXT; Extr-R; Finding; Findings
106819-6,RFA Guidance for Guidance of Vessel,RFA Guided Ves Guide,RF,Unspecified; True; XXX,21,Document; Finding; Findings; Fluor; Fluoro
106820-4,RF Guidance for Guidance of Sinuses,RF Guided Sinuses Guide,RF,Head,20,Brain; Cranial; Cranium; Document; Finding
106821-2,RF Guidance for Guidance of Skull,RF Guided Skull Guide,RF,Head,19,Brain; Cranial; Cranium; Document; Finding
106823-8,RF Guidance for antegrade pyelography of Kidney - right,RF Guided Kidney-R,RF,True; Abdomen; Right,22,Abd; Abdo; Abdomen+; Abdominal; Document
106824-6,RF Guidance for ileostomy of Colon -- W contrast,RF Guided Colon ileostomy bar enema,RF,Abdomen; Pelvis,24,Abd; Abd+Pelvis; Abdo; Abdominal; c
106825-3,RF Guidance for injection of Unspecified body region,RF Guided Inj,RF,,20,Document; Finding; Findings; Fluor; Fluoro
106826-1,RF Guidance for placement of wire in Biliary system,RF Guided Biliary Wire place,RF,Biliary system,14,Document; Finding; Findings; Fluor; Fluoro
106828-7,RF Guidance for intussusception reduction of Gastrointestinal tract,RF Guided GI intussuscept reduct,RF,Abdomen; Pelvis,20,Abd; Abd+Pelvis; Abdo; Abdominal; Document
106837-8,RF Guidance of Lower extremity - bilateral,RF Guided LE-BI mobile image intens,RF,Lower extremity; True; Bilateral,22,Bil; Bilat; Both; Document; EXT
106844-4,CT Cerebral vein W contrast IV,CT Cerebral v W contr IV,CT,Unspecified; True; Head,27,Brain; c; CAT scan; Cereb; Computed tomography
106845-1,CT Chest WO contrast IV,CT Chest,CT,Chest,17,c; CAT scan; Computed tomography; Computerized tomography; Contr
106847-7,CT Guidance for cryoablation of Unspecified body region,CT Guided Cryoablation,CT,,20,CAT scan; Computed tomography; Computerized tomography; CT scan; Document
106848-5,CT Spine,CT Spine,CT,Spine,13,CAT scan; Computed tomography; Computerized tomography; CT scan; Document
106849-3,CT Guidance for radiofrequency ablation of Kidney,CT Guided Kidney Radiofreq abl,CT,Unspecified; True; Abdomen,22,Abd; Abdo; Abdomen+; Abdominal; CAT scan
106850-1,CT Guidance for microwave ablation of Liver,CT Guided Liver Microwave abl,CT,Abdomen,20,Abd; Abdo; Abdomen+; Abdominal; CAT scan
106851-9,CT Guidance for placement of fiducial marker in Pelvis bones,CT Guided Pelvis bones Fid marker place,CT,Pelvis,17,CAT scan; Computed tomography; Computerized tomography; CT scan; Document
106852-7,CT Guidance for injection of Spine.thoracic epidural space,CT Guided T-spine space Inj,CT,Chest,22,CAT scan; Computed tomography; Computerized tomography; CT scan; Document
106853-5,CT Lacrimal duct - right WO and W contrast IV,CT Lacrimal Duct-R WO+W contr IV,CT,True; Right; Head,29,Brain; c; CAT scan; Computed tomography; Computerized tomography
106854-3,CT Lacrimal duct - left WO and W contrast IV,CT Lacrimal duct-L WO+W contr IV,CT,True; Left; Head,29,Brain; c; CAT scan; Computed tomography; Computerized tomography
106856-8,CT Cervical spine and 3D post processing reconstruction,CT C-spine +3DR,CT,Neck,20,+3DR; After; C/sp; CAT scan; Cerv
106857-6,CT Guidance for percutaneous cryoablation of tumor of Liver,CT Guided Liver perc cryoablate neoplasm,CT,Abdomen,22,Abd; Abdo; Abdomen+; Abdominal; CAT scan
107258-6,RF Guidance for percutaneous thrombolysis of Cerebral artery,RF Guided Cerebral a thrombo,RF,Unspecified; True; Head,22,Art; Brain; Cereb; Cranial; Cranium
107259-4,RF Guidance for embolization of arteriovenous malformation of Unspecified body region,RF Guided emboliz AV malform,RF,,20,Document; Finding; Findings; Fluor; Fluoro
107262-8,RF Guidance for percutaneous mechanical thrombectomy of Right pulmonary artery,RF Guided PA-R thrombect,RF,Chest; True; Right,22,Document; Finding; Findings; Fluor; Fluoro
107263-6,RF Guidance for percutaneous thrombolysis of Right pulmonary arteries,RF Guided PA-R thrombo,RF,Chest; True; Right,23,Document; Finding; Findings; Fluor; Fluoro
107264-4,RF Guidance for percutaneous mechanical thrombectomy of Pulmonary artery,RF Guided Pulm mech thrombect,RF,Chest; Unspecified; True,17,Art; Document; Finding; Findings; Fluor
107265-1,RF Guidance for percutaneous thrombolysis of Pulmonary artery,RF Guided Pulm artery thromb,RF,Chest; Unspecified; True,18,Art; Document; Finding; Findings; Fluor
107266-9,RF Guidance for percutaneous thrombolysis of Mesenteric artery,RF Guided Mesenteric a thrombo,RF,Abdomen,20,Abd; Abdo; Abdomen+; Abdominal; Art
107267-7,RF Guidance for percutaneous aspiration thrombectomy of Lower extremity artery - left,RF Guided LE a-L aspir thrombect,RF,Lower extremity; True; Left,28,Art; Asp; Document; EXT; Extr a
107268-5,RF Guidance for embolization of Carotid arteries - left,RF Guided Carotid aa-L Embol,RF,True; Left; Head; Neck,22,Brain; Carotid aa; Carotid aa-L; Cranial; Cranium
107269-3,RFA Guidance for embolization of Cerebral artery,RFA Guided Cerebral a Embol,RF,Unspecified; True; Head,21,Art; Brain; Cereb; Cranial; Cranium
107270-1,RFA Guidance for insertion of stent of Carotid arteries -right,RFA Guided Carotid aa-R insert stent,RF,True; Right; Head; Neck,24,Brain; Carotid aa; Carotid aa-R; Cranial; Cranium
107271-9,XR and RF Wrist - right Views,XR and Flr Wrist-R Views,XR; RF,Upper extremity; True; Right,31,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
107272-7,XR and RF Wrist - left Views,XR and Flr Wrist-L Views,XR; RF,Upper extremity; True; Left,31,Arm; Carpal bone; Carpal bones; Carpal bones and joint; Document
107273-5,RF Guidance for reposition of CV catheter in Unspecified body region,RF Guided CVC repos,RF,,21,Cath; CVC repos; Document; Finding; Findings
107274-3,Guidance for exchange of central venous catheter of Unspecified body region,RF Guided Guidance for exchange of CVC,RF,,24,Cath; Change; Document; Finding; Findings
107275-0,XR and RF Upper extremity - right Views,XR and Flr UE-R Views,XR; RF,Upper extremity; True; Right,26,Arm; Document; EXT; Extr-R; Films
107276-8,RF Upper extremity - right Views,RF UE-R Views,RF,Upper extremity; True; Right,22,Arm; Document; EXT; Extr-R; Films
107277-6,XR and RF Upper extremity - left Views,XR and Flr UE-L Views,XR; RF,Upper extremity; True; Left,26,Arm; Document; EXT; Extr-L; Films
107278-4,RF Upper extremity - left Views,RF UE-L Views,RF,Upper extremity; True; Left,22,Arm; Document; EXT; Extr-L; Films
107279-2,XR and RF Upper extremity - bilateral Views,XR and Flr UE-Bl Views,XR; RF,Upper extremity; True; Bilateral,26,Arm; Bil; Bilat; Both; Document
107280-0,XR and RF Skull Views,XR and Flr Skull Views,XR; RF,Head,23,Brain; Cranial; Cranium; Document; Films
107290-9,RF Guidance for embolization of Pulmonary artery,RF Guided Pulm artery,RF,Chest; Unspecified; True,16,Art; Document; Finding; Findings; Fluor
107291-7,RF Guidance for insertion of cardiac pacemaker of Heart,RF Guided Hrt temp pacemaker,RF,Chest,17,Cardiac; Document; Finding; Findings; Fluor
107292-5,RF Guidance for fistula obstruction of Pleural space,RF Guided Pl space occlusion fistula,RF,Chest; Unspecified; True,15,Document; Finding; Findings; Fluor; Fluoro
107294-1,RF Guidance for radiofrequency ablation of Thoracic spine intercostal nerve,RF Guided T-spine ICN Radiofreq abl,RF,Chest,21,Document; Dorsal spine; Finding; Findings; Fluor
107295-8,RF Guidance for percutaneous thrombolytic graft of Upper extremity - right,RF Guided UE-R perc thrombolysis graft,RF,Upper extremity; True; Right,24,Arm; Document; EXT; Extr-R; Finding
107296-6,RF Guidance for percutaneous thrombolytic graft of Upper extremity - left,RF Guided UE-L perc thrombolysis graft,RF,Upper extremity; True; Left,24,Arm; Document; EXT; Extr-L; Finding
107297-4,RF Guidance for replacement of gastrojejunostomy tube in Gastrointestinal tract upper,RF UGI Guide replace GJ tube,RF,Abdomen,21,Abd; Abdo; Abdomen+; Abdominal; Document
107298-2,RF Guidance for percutaneous thrombolytic graft of Lower extremity - right,RF LE-R Guide perc thrombo,RF,Lower extremity; True; Right,24,Document; EXT; Extr-R; Finding; Findings
107299-0,RF Guidance for percutaneous thrombolytic graft of Lower extremity - left,RF LE-L Guide perc thrombo,RF,Lower extremity; True; Left,24,Document; EXT; Extr-L; Finding; Findings
