pmid,title,journal,year,abstract,text_length
39878902,"The CT findings of extranodal natural killer/T-cell lymphoma, nasal type involving the gastrointestinal tract.",European radiology,2025,"To analyze the CT imaging features of extranodal natural killer/T (NK/T)-cell lymphoma, nasal type (ENKTCL-NT) involving the gastrointestinal tract (GI), and to compare them with those of Crohn's disease (CD) and diffuse large B-cell lymphoma (DLBCL). Data were retrospectively collected from 17 patients diagnosed with GI ENKTCL-NT, 68 patients with CD, and 47 patients with DLBCL. The CT findings of ENKTCL-NT were analyzed and compared with those of CD and DLBCL. Data were analyzed using SPSS (version 25.0) and MedCalc (version 18.2.1). p < 0.05 was considered statistically significant. The 17 patients with ENKTCL-NT included 11 males (64.7%) and 6 females (35.3%) (mean age, 46.41 ± 4.12 years). The CT features of ENKTCL-NT included: circumferential symmetric thickening (100%), moderate thickening (70.6%), skip lesions (52.9%), contiguous lesion (47.1%), mucosal or layered enhancement (70.6%), moderate mural enhancement (64.7%) with non-enhanced regions (47.1%), absence of lymphadenopathy (76.5%), bowel perforation or fistula (17.6%), and peri-enteric blurred fat space (70.6%). The presence of circumferential symmetric thickening, moderate mural enhancement, and non-enhanced regions were more indicative of ENKTCL-NT than CD (17/17 vs. 17/68, 11/17 vs. 22/68, 8/17 vs. 0/68, p < 0.05). The presence of skip lesions, mucosal or layered enhancement, and absence of peri-enteric lymphadenopathy were more indicative of ENKTCL-NT than DLBCL (9/17 vs. 2/47, 12/17 vs. 1/37, 13/17 vs. 19/47, p < 0.05). CT imaging features can provide useful information for the early diagnosis of ENKTCL-NT and effectively differentiate it from CD and DLBCL. Question Extranodal natural killer/T-cell lymphoma, nasal type (ENKTCL-NT) involving the gastrointestinal tract (GI) is highly malignant but easily misdiagnosed by clinicians and endoscopic examination. Findings CT could provide useful information in the diagnosis of ENKTCL-NT involving GI and in differentiating it from Crohn's disease and diffuse large B-cell lymphoma. Clinical relevance This study will help improve the ability of radiologists to diagnose ENKTCL-NT involving GI, and a more predictive diagnosis will also alert clinicians to perform multiple deep endoscopic biopsies, which will contribute to the early diagnosis and treatment of ENKTCL-NT.",2317
39875612,Diagnostic utility of chest wall vessel involvement sign on ultra-high-resolution CT for primary lung cancer infiltrating the chest wall.,European radiology,2025,"Chest wall infiltration in primary lung cancer affects the surgical and therapeutic strategies. This study evaluates the efficacy of the chest wall vessel involvement in subpleural lung cancer (CWVI)　on ultra-high-resolution CT (UHR-CT) for detecting chest wall invasion. A retrospective analysis of lung cancer cases with confirmed pleural and chest wall invasion was conducted from November 2019 to April 2022. Seventy-seven patients (mean ± standard deviation age 70 ± 8 years, 64 males) who underwent preoperative contrast-enhanced UHR-CT were included. They were grouped into 51 non-chest wall infiltration (pl1 and pl2) and 26 chest wall infiltration (pl3). Clinical, histopathological, and UHR-CT findings were reviewed. Upper lobe tumors exhibited a higher chest wall invasion rate (p < 0.001). Rib destruction was evident in five patients with chest wall invasion but none with pleural invasion (p < 0.001). CWVI was present in 19 of 26 patients with chest wall invasion and 2 of 51 patients with pleural invasion (p < 0.001). The maximum tumor diameter (Dmax), arch distance which means the interface length between the primary tumor and the chest wall (Adist), and the ratio of Dmax to Adist were higher in chest wall invasion cases (all p < 0.001). After excluding patients with rib destruction, in multivariate logistic regression analysis, only CWVI was a significant predictor for chest wall invasion (odds ratio 29.22 (95% confidence interval 9.13-262.90), p < 0.001). CWVI on UHR-CT can help diagnose lung cancer infiltrating the chest wall, offering a potential tool for clinical decision-making. Question Chest wall infiltration in primary lung cancer has implications for the treatment plan, but diagnosis is often difficult with conventional CT. Findings Chest wall vessel involvement in subpleural lung cancer on ultra-high-resolution CT is a valuable predictor for diagnosing chest wall infiltration. Clinical relevance The delineation of chest wall vessels with contrast-enhanced ultra-high-resolution CT may improve the diagnosis of chest wall infiltration and allow accurate staging and optimal treatment options for subpleural primary lung cancer.",2174
39873753,Dual-energy CT iodine concentration as a biomarker for immunotherapy treatment response in metastatic melanoma and renal cell carcinoma patients.,European radiology,2025,"To investigate the predictive value of tumor iodine concentration obtained with dual-energy CT (DECT) for treatment response in patients treated with immune checkpoint inhibitors (ICI). Retrospective single-center study of consecutive metastatic melanoma and renal cell carcinoma (RCC) patients undergoing first-line ICI treatment. The iodine concentration measurement time points include prior to initiation of therapy (baseline [BL]), after initiation (follow-up [FU1]), and either time point nearest to 12 months or at time of progression (final follow-up [FFU]). Target lesion DECT-based whole-volume tumor normalized iodine concentration average (NICave) and size measurements were obtained. Reference standard was individual lesion FFU status categorized as responders or nonresponders per RECIST 1.1. Logistic regression model assessed NICave change and FU1 lesion response as predictors of FFU lesion outcome. Model's performance was summarized with AUC. Intraclass correlation coefficient (ICC) summarized inter-rater agreement of NICave. Forty-six patients were included (mean age 61 ± 11 years, 12 women; 16 melanoma). Sixty-four of 175 target lesions were confirmed nonresponders at FFU. In a multivariable model, lesion status at FU1 (odds ratio [OR]: 27.4, p < 0.001) and changes in NICave from BL to FU1 (OR: 2.42 per 1-SD increase, p = 0.019) were significant predictors of lesion status at FFU. The model's AUC was 0.86 (95% CI: 0.76-0.93). Inter-rater reliability of NICave was 0.98 (95% CI: 0.97-0.99). Changes in iodine concentration from baseline to first follow-up improve identification of delayed responding metastatic melanoma and RCC lesions treated with immune checkpoint inhibitor, initially classified as nonresponders by size change. Question How can pseudoprogression/delayed treatment response in metastatic renal cell carcinoma (RCC) and melanoma patients on first-line immune checkpoint inhibitors be accurately identified? Findings Combining iodine concentration change from Dual-energy CT (baseline to first follow-up) with RECIST-based lesion size change improved prediction of final lesion outcome. Clinical relevance DECT-based whole-volume tumor iodine concentration for target lesions is useful as a predictive imaging biomarker for distinguishing delayed response from true progression in patients with metastatic RCC and melanoma treated with first-line immune checkpoint inhibitors.",2426
39873605,Association of Obesity and Skeletal Muscle with Postoperative Survival in Non-Small Cell Lung Cancer.,Radiology,2025,"Background A comprehensive assessment of skeletal muscle health is crucial to understanding the association between improved clinical outcomes and obesity as defined by body mass index (BMI; calculated as weight in kilograms divided by height in meters squared) in lung cancer, but limited studies have been conducted on this topic. Purpose To investigate the association between BMI-defined obesity and survival in patients with non-small cell lung cancer who underwent curative resection, with a specific focus on the status of skeletal muscle assessed at CT. Materials and Methods This retrospective study investigated Korean patients with non-small cell lung cancer who underwent curative resection between January 2008 and December 2019. Patients were classified into nonobese (BMI <25) or obese (BMI ≥25) groups. Skeletal muscle status was assessed at CT at the level of the third lumbar vertebrae. Low skeletal muscle mass (LSMM) was defined as the sex-specific lowest quartile. Cox regression analysis was used to evaluate the associations of BMI and muscle status with overall survival. Results A total of 7076 patients (mean age, 62.5 years ± 9.7 [SD]; 4081 male) were included, of whom 2512 (35.5%) had a BMI greater than or equal to 25 (obese group). In the setting of absent LSMM and myosteatosis, patients in the obese group had longer overall survival compared with patients in the nonobese group (hazard ratio [HR], 0.77; 95% CI: 0.66, 0.90; ",1458
39869307,"Receptor CDCP1 Is a Potential Target for Personalized Imaging and Treatment of Poor Outcome HER2+, Triple-Negative, and Metastatic ER+/HER2- Breast Cancers.",Clinical cancer research : an official journal of the American Association for Cancer Research,2025,"Receptor CUB domain-containing protein 1 (CDCP1) was evaluated as a target for detection and treatment of breast cancer. CDCP1 expression was assessed immunohistochemically in tumors from 423 patients [119 triple-negative breast cancer (TNBC); 75 HER2+; and 229 ER+/HER2-, including 228 primary tumors and 229 lymph node and 47 distant metastases). Cell cytotoxicity induced in vitro by a CDCP1-targeting antibody-drug conjugate (ADC), consisting of the human/mouse chimeric antibody ch10D7 and the microtubule disruptor monomethyl auristatin E (MMAE), was quantified, including in combination with HER-targeting ADC trastuzumab emtansine (T-DM1). Detection of CDCP1-expressing primary and metastatic xenografts in mice was examined by PET-CT imaging using zirconium-89-labeled ch10D7. The impact of ch10D7-MMAE on tumor burden and survival in vivo, including in combination with T-DM1, was quantified in cell line and patient-derived xenograft mouse models. CDCP1 is expressed predominantly on the surface of malignant cells of 70% of TNBC, 80% of HER2+ tumors, and increases in ER+/HER2- tumors from 44.9% in primary tumors to 56.4% in lymph node metastases and 74.3% in distant metastases. PET-CT imaging with zirconium-89-labeled ch10D7 is effective for the detection of primary and metastatic CDCP1-expressing TNBC in mice. ADC ch10D7-MMAE kills CDCP1-expressing cells in vitro and controls primary and metastatic TNBC xenografts in mice, conferring significant survival advantages over chemotherapy. It compares favorably to T-DM1 in vivo, and ch10D7-MMAE combined with T-DM1 showed the most potent efficacy, markedly reducing tumor burden of CDCP1+/HER2+ xenografts and prolonging mouse survival, compared with T-DM1 or ch10D7. CDCP1-directed molecular imaging has the potential to identify aggressive breast cancers for CDCP1-targeted treatment.",1853
39862250,Abdominopelvic imaging in the follow-up of testicular germ-cell tumors in adults: recommendations of the Scrotal and Penile Imaging Working Group of the European Society of Urogenital Radiology.,European radiology,2025,"The Scrotal and Penile Imaging Working Group (SPIWG) of the European Society of Urogenital Radiology (ESUR) aimed to formulate recommendations on the imaging modalities and minimal technical requirements for abdominopelvic imaging in the follow-up of adult patients treated for testicular germ-cell tumors (TGCT). The SPIWG members performed an extensive literature search, reviewed the current clinical practice, and reached a consensus based on the opinions of experts in the field. Recurrence in patients treated for TGCT mainly occurs in retroperitoneal lymph nodes (LNs). Abdominopelvic CT and MRI are equivalent assessing retroperitoneal LNs. MRI has the advantage of avoiding radiation exposure, and moreover, diffusion-weighted images (DWI) may increase the detection rates without the need for contrast administration. In patients treated for stage I TGCT, the ESUR-SPIWG recommends MRI over CT for the detection of retroperitoneal LNs during the follow-up after treatment. CT, however, remains the follow-up imaging of choice in patients with advanced disease. When MRI is used, the recommended minimal requirements are at least one high-quality anatomical sequence (T1-WI or T2-WI) in axial and coronal planes, and DWI in the same axial plane, ≤ 4 mm contiguous slices from the diaphragm to the perineum. When CT is used, the recommended minimal requirement is a standard-dose contrast-enhanced CT in the portal-venous phase, scanned from the diaphragm to the perineum. In this paper, the ESUR-SPIWG provides recommendations on the imaging modalities and minimal technical requirements for abdominopelvic imaging in the follow-up of adult patients treated for TGCT. Question There are no recommendations on the preferred imaging modality or scan sequences required for abdominopelvic imaging in the follow-up after treatment for testicular cancers. Findings The European Society of Urogenital Radiology Scrotal and Penile Imaging Working Group (ESUR-SPIWG) provides recommendations for abdominopelvic imaging in follow-up after treatment for testicular cancers. Clinical relevance Recurrence of testicular germ-cell tumors mainly occurs in retroperitoneal lymph nodes. Both CT and MRI provide similar morphological assessments, but radiation exposure can be avoided by using MRI instead of CT.",2304
39862248,Effect of artificial intelligence-aided differentiation of adenomatous and non-adenomatous colorectal polyps at CT colonography on radiologists' therapy management.,European radiology,2025,"Adenomatous colorectal polyps require endoscopic resection, as opposed to non-adenomatous hyperplastic colorectal polyps. This study aims to evaluate the effect of artificial intelligence (AI)-assisted differentiation of adenomatous and non-adenomatous colorectal polyps at CT colonography on radiologists' therapy management. Five board-certified radiologists evaluated CT colonography images with colorectal polyps of all sizes and morphologies retrospectively and decided whether the depicted polyps required endoscopic resection. After a primary unassisted reading based on current guidelines, a second reading with access to the classification of a radiomics-based random-forest AI-model labelling each polyp as ""non-adenomatous"" or ""adenomatous"" was performed. Performance was evaluated using polyp histopathology as the reference standard. 77 polyps in 59 patients comprising 118 polyp image series (47% supine position, 53% prone position) were evaluated unassisted and AI-assisted by five independent board-certified radiologists, resulting in a total of 1180 readings (subsequent polypectomy: yes or no). AI-assisted readings had higher accuracy (76% +/- 1% vs. 84% +/- 1%), sensitivity (78% +/- 6% vs. 85% +/- 1%), and specificity (73% +/- 8% vs. 82% +/- 2%) in selecting polyps eligible for polypectomy (p < 0.001). Inter-reader agreement was improved in the AI-assisted readings (Fleiss' kappa 0.69 vs. 0.92). AI-based characterisation of colorectal polyps at CT colonography as a second reader might enable a more precise selection of polyps eligible for subsequent endoscopic resection. However, further studies are needed to confirm this finding and histopathologic polyp evaluation is still mandatory. Question This is the first study evaluating the impact of AI-based polyp classification in CT colonography on radiologists' therapy management. Findings Compared with unassisted reading, AI-assisted reading had higher accuracy, sensitivity, and specificity in selecting polyps eligible for polypectomy. Clinical relevance Integrating an AI tool for colorectal polyp classification in CT colonography could further improve radiologists' therapy recommendations.",2179
39853335,Discordance between prostate MRI and PSMA-PET/CT: the next big challenge for primary prostate tumor assessment?,European radiology,2025,"An increasing number of patients with prostate cancer (PCa) undergo assessment with magnetic resonance imaging (MRI) and prostate-specific membrane antigen positron emission tomography/computed tomography (PSMA-PET/CT). This offers comprehensive multimodality staging but can lead to discrepancies. The objective was to assess the rates and types of discordance between MRI and PSMA-PET/CT for primary PCa assessment. Consecutive men diagnosed with intermediate and high-risk PCa who underwent MRI and PSMA-PET/CT in 2021-2023 were retrospectively included. MRI and PSMA-PET/CT were interpreted using PI-RADS v2.1 and PRIMARY scores. Discordances between the two imaging modalities were categorized as ""minor"" (larger or additional lesion seen on one modality) or ""major"" (positive on only one modality or different index lesions between MRI and PSMA-PET/CT) and reconciled using radical prostatectomy or biopsy specimens. Three hundred and nine men (median age 69 years, interquartile range (IQR) 64-75) were included. Most had Gleason Grade Group ≥ 3 PCa (70.9% (219/309)). Median PSA was 9.0 ng/mL (IQR 5.6-13.6). MRI and PSMA-PET/CT were concordant in 157/309 (50.8%) and discordant in 152/309 (49.1%) patients; with 39/152 (25.7%) major and 113/152 (74.3%) minor discordances. Of 27 patients with lesions only seen on MRI, 85.2% (23/27) were clinically significant PCa (csPCa). Of 23 patients with lesions only seen on PSMA-PET/CT, 78.3% (18/23) were csPCa. Altogether, lesions seen on only one modality were csPCa in 80.0% (36/45). MRI and PSMA-PET/CT were discordant in half of patients for primary PCa evaluation, with major discrepancies seen in roughly one out of eight patients. Question While both MRI and PSMA-PET/CT can be used for primary tumor assessment, the discordances between them are not well established. Findings MRI and PSMA-PET/CT were discordant in about half of the patients. Most prostate lesions seen on only one modality were significant cancer. Clinical relevance MRI and PSMA-PET/CT are often discordant for assessing the primary prostate tumor. Using both modalities for primary prostate tumor evaluation can provide complementary information that may substantially impact treatment planning.",2226
39853333,The prognostic value of baseline EARL standardized FDG PET indices in pediatric and adolescent high-grade osteosarcoma.,European radiology,2025,"To investigate the prognostic value of baseline European Association of Nuclear Medicine Research Ltd. (EARL) standardized [ Pediatric and adolescent patients with high-grade osteosarcoma were included. Baseline [ In total, 66 patients were included in this study. In the univariable Cox regression analysis, peak lean-body mass corrected SUV (SUL In this study, the baseline EARL-standardized [ Question Prognostic value of baseline [",435
39853331,Prediction of immunotherapy response in nasopharyngeal carcinoma: a comparative study using MRI-based radiomics signature and programmed cell death ligand 1 expression score.,European radiology,2025,"To compare an MRI-based radiomics signature with the programmed cell death ligand 1 (PD-L1) expression score for predicting immunotherapy response in nasopharyngeal carcinoma (NPC). Consecutive patients with NPC who received immunotherapy between January 2019 and June 2022 were divided into training (n = 111) and validation (n = 66) sets. Tumor radiomics features were extracted from pretreatment MR images. PD-L1 combined positive score (CPS) was calculated using immunohistochemistry. The least absolute shrinkage and selection operator (LASSO) algorithm was used for feature selection and radiomics signature construction. Receiver operating characteristic (ROC) curve analysis was performed to assess prediction performance. A total of eleven radiomics features with the greatest discrimination capability were identified by the LASSO algorithm to construct the radiomics signature. In predicting patients with objective response to immunotherapy, radiomics score (Rd-score) yielded a significantly higher area under the ROC curve than that of CPS in both the training (0.790 vs. 0.645, p = 0.025) and the validation (0.735 vs. 0.608, p = 0.038) sets. Multivariate analysis identified the Rd-score as an independent influencing factor in predicting immunotherapy response (odds ratio = 19.963, p < 0.001). Kaplan-Meier analysis indicated that patients with Rd-score ≥ 0.5 showed longer progression-free survival than patients with Rd-score < 0.5 (log-rank p < 0.01). An MRI-based radiomics signature demonstrated greater efficacy than the PD-L1 expression score in predicting immunotherapy response in patients with NPC. Question How does an MRI-based radiomics signature compare with the programmed cell death ligand 1 expression score for predicting immunotherapy response in nasopharyngeal carcinoma? Findings The MRI-based radiomics signature demonstrated superior predictive value compared with programmed cell death ligand 1 expression score in identifying immunotherapy responders. Clinical relevance MRI-based radiomics are a promising novel noninvasive tool for predicting immunotherapy outcomes in nasopharyngeal carcinoma.",2139
39843627,Baseline PSMA PET/CT parameters predict overall survival and treatment response in metastatic castration-resistant prostate cancer patients.,European radiology,2025,"Metastatic castration-resistant prostate cancer (mCRPC) is a heterogeneous disease with varying survival outcomes. This study investigated whether baseline PSMA PET/CT parameters are associated with survival and treatment response. Sixty mCRPC patients underwent [ Total tumour volume (PSMA-TV) (HR = 1.41 per doubling [1.17-1.70]), total lesion uptake (TL-PSMA) (HR = 1.40 per doubling [1.16-1.69]) and DmaxVox (HR = 1.31 per 10 cm increase [1.07-1.62]) were prognostic for OS, each independent of baseline PSA level (HR = 0.82 per doubling [0.68-0.98]), haemoglobin level (HR = 0.68 per mmol/L increase [0.49-0.95]) and line of treatment. On lesion-level, location (prostate vs bone OR = 0.23 [0.06-0.83]) and SUV Baseline PSMA PET/CT scans have prognostic value in mCRPC patients and can potentially aid in treatment decision-making. DmaxVox can serve as a simpler alternative to PSMA-TV when automated segmentation software is not available. When combined with PSMA-TV, lower PSA levels indicated worse OS, which may be a marker of tumour dedifferentiation. Further research is needed to validate these models in larger patient cohorts. Question mCRPC is a highly heterogeneous disease, requiring good prognostic markers. Findings PSMA-TV was the best independent prognostic marker for OS; maximum distance between lesions (DmaxVox) can be used as a simpler alternative. Clinical relevance Baseline PSMA PET/CT parameters representing tumour burden were independently associated with OS in mCRPC patients, providing prognostic insights for clinical decision-making. Although PSMA-TV was the best prognostic marker, DmaxVox can serve as an easier to obtain alternative.",1672
39841203,Improved detection of brain metastases using contrast-enhanced 3D black-blood TSE sequences compared to post-contrast 3D T1 GRE: a comparative study on 1.5-T MRI.,European radiology,2025,"Brain metastases are the most common intracranial malignancy in adults, and their detection is crucial for treatment planning. Post-contrast 3D T1 gradient-recalled echo (GRE) sequences are commonly used for this purpose, but contrast-enhanced 3D T1 turbo spin-echo (TSE) sequences with motion-sensitized driven-equilibrium (MSDE) technique (""black blood"") may offer improved detection. This study aimed to compare the effectiveness of contrast-enhanced 3D black blood sequences to standard 3D T1 GRE sequences in detecting brain metastases on a 1.5-T MRI. A retrospective analysis of 183 patients with suspected or follow-up brain metastases between May 2022 and September 2023 was conducted. Among these patients, 107 were included in the final analysis. Both post-contrast 3D T1 GRE and 3D black blood sequences were acquired on the same scanner with similar acquisition times. Two neuroradiologists independently evaluated the images for the number, size, and location of metastases. Interobserver variability and statistical analysis were performed. Among the 107 patients (mean age 60.8 years ± 13.2 years; 55 males, 52 females), 3D black blood sequences detected a significantly higher number of brain metastases, particularly small lesions (< 5 mm), compared to 3D T1 GRE sequences (p < 0.05). There was no significant difference in detecting large metastases (≥ 5 mm) between the sequences. In addition, the black blood sequences provided better conspicuity of metastases in the majority of patients (85%). Contrast-enhanced 3D T1 TSE with MSDE (""black blood"") sequences offer improved detection of brain metastases, especially small lesions, on 1.5-T MRI compared to standard 3D T1 GRE sequences. Question Accurate identification of the number and location of brain metastases using MRI is essential for planning and managing effective treatment. Findings Contrast-enhanced 3D T1 TSE black blood sequences detected significantly more small brain metastases than standard 3D T1 GRE sequences on 1.5-T MRI. Clinical relevance The use of 3D black blood sequences on 1.5-T MRI may have the potential to improve the accuracy of detection of brain metastases, leading to better treatment planning and potentially improved patient outcomes.",2243
39838092,Evaluation of MRI characterisation of histopathologically matched lymph nodes and other mesorectal nodal structures in rectal cancer.,European radiology,2025,"To evaluate current MRI-based criteria for malignancy in mesorectal nodal structures in rectal cancer. Mesorectal nodal structures identified on baseline MRI as lymph nodes were anatomically compared to their corresponding structures histopathologically, reported as lymph nodes, tumour deposits or extramural venous invasion. All anatomically matched nodal structures from patients with primary surgery and all malignant nodal structures from patients with neoadjuvant treatment were included. Mixed-effects logistic regression models were used to evaluate the morphological criteria irregular margin, round shape, heterogeneous signal and nodal size, as well as the combined 2016 European Society of Gastrointestinal and Abdominal Radiology (ESGAR) consensus criteria, with histopathological nodal status as the gold standard. In total, 458 matched nodal structures were included from 46 patients (mean age, 67.7 years ± 1.5 [SD], 27 men), of which 19 received neoadjuvant treatment. The strongest associations in the univariable model were found for short-axis diameter ≥ 5 mm (OR 21.43; 95% CI: 4.13-111.29, p < 0.001) and heterogeneous signal (OR 9.02; 95% CI: 1.33-61.08, p = 0.024). Only size remained significant in multivariable analysis (OR 12.32; 95% CI: 2.03-74.57, p = 0.006). When applying the ESGAR consensus criteria to create a binary classification of nodal status, the OR of malignant outcome for nodes with positive ESGAR was 8.23 (95% CI: 2.15-31.50, p = 0.002), with corresponding sensitivity and specificity of 54% and 85%, respectively. The results confirm the role of morphological and size criteria in predicting lymph node metastases. However, the current criteria might not be accurate enough for nodal staging. Question Pretreatment lymph node staging in rectal cancer is challenging, and the ESGAR consensus criteria are not fully validated. Findings Although the ESGAR criteria correlated with malignant outcomes, diagnostic performance in terms of particular sensitivity, but also specificity, was not high. Clinical relevance Accurate nodal staging in rectal cancer is crucial for individual treatment planning. However, this validation of the current ESGAR consensus criteria suggests that these should be used with caution.",2258
39838091,Prognostic and diagnostic value of [,European radiology,2025,"To assess the prognostic value of Fluorine 18-labeled fluorodeoxyglucose [ Thirty-six patients with suspected hepatic masses were prospectively enrolled from May 2021 to September 2022 and underwent [ Of the 36 included patients (mean age, 59 years ± 10 (standard deviation)), 29 were diagnosed with HCC, four with non-HCC malignant tumors, and three with benign tumors. Patients with HCC lesions negative for  [ Question What are the prognostic and diagnostic values of PET/CT tracers, including [",498
39838090,Tumour growth rate and invasive interval cancer characteristics in a UK breast cancer screening population.,European radiology,2025,"To estimate tumour volume doubling time (TVDT) of interval cancers (ICs). Two radiologists retrospectively reviewed prior screening and diagnostic mammograms and measured mean diameter on ""visible"" ICs. Univariate analyses of clinicopathological variables (ER, HER2, grade, age at diagnosis, and breast density) were undertaken, and those with p < 0.1 were included in a generalised linear model to estimate TVDT, cancer size at screening, and time of cancer visibility for ""non-visible"" tumours. From 2011 to 2018, 476 ICs were diagnosed, almost half in the third year after screening with 86% grade 2 or 3. A visible abnormality at screening was identified in 281/476 (59%) cases. Significant differences in TVDT were found with age (p < 0.02), ER status (p < 0.0001). Median TVDTs of grade 1, 2 and 3 cancers were 317, 288, and 195 days, respectively (p < 0.001). For non-visible cancers, the median estimated size at screening was 1.7 mm (IQR 1.0-2.5) for grade 1, 2.5 mm (IQR 1.5-5.9) for grade 2, and 0.9 mm (IQR 0.4-2.0) for grade 3 cancers, p < 0.001. The estimated time for cancer visibility was 489 days (IQR 229-682) after screening and 645 days (IQR 527-798) for cancers diagnosed in the third year after screening. Using TVDT of retrospectively visible interval cancers, non-visible interval cancer sizes can be estimated at the time of screening. Increasing the frequency of screening from three-yearly to two-yearly invitations would reduce the number of interval cancers significantly. Question Growth modelling of visible interval cancers (ICs) at screening helps to track the likely progression of non-visible ICs over the screening interval. Findings Tumour doubling time of visible ICs at screening is positively associated with age and ER status and inversely associated with cancer grade. Clinical relevance Interval cancer characterisation and growth modelling can be helpful to better predict the benefits of supplemental screening and the frequency of screening, given a minimum detectable size.",2020
39838089,Serial assessment of coronary artery inflammation using cardiac CT in anthracycline chemotherapy for breast cancer.,European radiology,2025,"There is limited evidence of the pericoronary fat attenuation index (FAI) as an imaging marker to assess cancer therapy-related cardiovascular toxicity. We aimed to measure FAI in four consecutive coronary CT angiography (CTA) scans before and 3, 6, and 12 months after anthracycline treatment in patients with breast cancer to determine trends in dynamic changes in FAI after treatment. We performed a post hoc analysis of a prospective study (between August 2019 and July 2020) in which anthracycline-induced myocardial injury was evaluated using cardiac CT. FAI was quantified using coronary CTA images before and 3, 6, and 12 months after anthracycline treatment. The FAIs of the three coronary arteries were averaged to calculate the FAI (Total). FAI was analyzed on 14 patients with breast cancer who had adequate CT image quality (mean age, 62 years ± 11 (SD); 14 women). During the observation period, all 14 patients treated with anthracycline developed mild asymptomatic cardiac dysfunction related to cancer treatment (CTRCD). FAI (Total) showed a gradual increase during the observation period compared to baseline (baseline: -77.3 ± 5.6 HU, 3 months: -77.1 ± 4.8 HU, 6 months: -76.5 ± 5.4 HU, 12 months: -73.8 ± 5.8 HU). FAI (Total) was significantly elevated at 12 months compared to baseline (p < 0.001). In patients with breast cancer, FAI showed a gradual increase at 3, 6, and 12 months after treatment with anthracyclines compared to before treatment. FAI may be used as an imaging biomarker of coronary artery inflammation in the follow-up of anthracycline therapy and may contribute to the personalization of therapy through early detection of coronary toxicity. Question Is pericoronary fat attenuation index (FAI) a potential imaging biomarker for assessing changes in pericoronary adipose tissue related to cancer therapy-related cardiovascular toxicity? Findings In 14 patients with breast cancer, FAI showed a gradual increase at 3, 6, and 12 months after treatment with anthracyclines compared to before treatment. Clinical relevance FAI may be an imaging biomarker for the detection and treatment of cancer therapy-related cardiovascular toxicity.",2175
39838088,Prognostic value of CT-based skeletal muscle and adipose tissue mass and quality parameters in patients with liver metastases and intrahepatic cholangiocarcinoma undergoing Yttrium-90 radioembolization.,European radiology,2025,"To investigate baseline patient characteristics associated with the risk of computed tomography (CT)-based sarcopenia and assess whether sarcopenia and other morphometric parameters influence survival outcomes in patients with liver metastases and cholangiocarcinoma after Yttrium-90 radioembolization. We retrospectively analyzed 120 cancer patients (mean age, 62 ± 13.3 years, 61 men) who underwent preprocedural CT. Skeletal muscle index (SMI) was measured at the L3 vertebral level to identify sarcopenia. The Cox proportional hazard model was performed to assess the prognostic value of the variables, and Kaplan-Meier analysis with log-rank text was used for overall survival (OS) assessment. Sarcopenia was diagnosed in 70 patients (58.3%). The multivariate regression analysis demonstrated that male sex, body mass index (BMI), visceral fat radiation attenuation (VFRA), skeletal muscle radiation attenuation (SMRA), and subcutaneous fat radiation attenuation (SFRA) were associated with the incidence of sarcopenia with the odds ratio of 8.81 (95% CI, 2.09-37.1, p = 0.003), 0.64 (95% CI, 0.48-0.85, p = 0.002), 1.23 (95% CI, 1.06-1.42, p = 0.006), 0.79 (95% CI, 0.69-0.91, p = 0.001) and 0.84 (95% CI, 0.76-0.93, p = 0.001), respectively. Age, skeletal muscle index, and tumor subtypes were independent prognostic factors for OS with the hazard ratio of 1.03 (95% CI, 1.01-1.05, p = 0.01), 0.92 (95% CI, 0.86-0.99, p = 0.021) and 2.09 (95% CI, 1.31-3.33 p = 0.002), respectively. In patients with intrahepatic cholangiocarcinoma, median OS was significantly longer in the non-sarcopenic group than in the sarcopenic patient (25.9 versus 6.5 months, p = 0.029). Male sex, BMI, VFRA, SMRA, and SFRA were associated with the incidence of sarcopenia. SMI value could be used as a biomarker for OS in patients treated with Yttrium-90 radioembolization. Question The prognostic significance of CT-based sarcopenia and other morphometric parameters in patients with liver metastases and cholangiocarcinoma undergoing Yttrium-90 radioembolization remains unclear. Findings A high skeletal muscle index has been identified as an independent protective factor for overall survival in cancer patients treated with Yttrium-90 radioembolization. Clinical relevance The negative impact of CT-based sarcopenia has been confirmed in the context of Yttrium-90 radioembolization. Clinicians should strive to prevent the progression of sarcopenia or maintain skeletal muscle index in perioperative management.",2500
